Month,2.6,2.7,2.7b2,2.7rc1,2.7rc2,2.8,3.1,3.2,3.2a4,3.2rc1,3.3,3.4,3.5,3.6,3.7,3.8,5.0,None
2016-01,2642599,58955432,0,0,0,0,30,68251,0,0,417419,3815645,1555025,16520,0,0,0,14457
2016-02,7998757,187101977,0,0,0,2,290,212448,0,0,1264046,11760354,5390338,67064,0,0,0,210698
2016-03,1445418,36220568,0,0,0,0,32,37455,0,0,241466,2389802,1189130,16079,0,0,0,18910
2016-05,3054256,78779247,0,0,0,8,45,69138,0,0,446054,4924585,3524239,41908,0,0,0,18434
2016-06,9683829,254998045,0,0,0,40,214,199143,0,0,1248037,15269507,11941334,122870,0,0,0,56248
2016-07,10457144,274045744,0,0,0,68,71,172618,0,0,1136809,15374979,14110699,164392,0,0,2,50434
2016-08,10299226,303825415,0,1,0,143,69,208402,0,0,1296361,17002479,17892881,206374,0,0,0,43943
2016-09,8570522,292830833,9,0,0,21,108,162094,0,0,1215217,17519031,20084099,219844,279,0,0,68714
2016-10,9465544,313388968,0,0,0,12,40,170280,0,0,1270778,17803357,23651640,196161,78765,0,0,58853
2016-11,8649263,341594586,0,0,0,32,88,143506,1,0,1195884,18670550,28018595,266338,138401,0,0,50851
2016-12,8414773,333435046,0,0,0,25,78,163065,0,0,1205858,18357815,26427972,869593,153262,0,0,46879
2017-01,10845763,388796691,0,0,0,20,99,161691,0,0,1423120,21299062,29932535,5696176,196909,0,0,60191
2017-02,12539387,392115960,0,0,0,59,22,109515,0,0,1143053,21246714,31495252,9174211,208229,0,0,48419
2017-03,13426415,445366500,0,0,0,61,101,146019,0,0,1299812,24480096,40375067,13847064,245140,0,0,72573
2017-04,14046765,416878685,0,0,0,53,33,141990,0,0,1209549,23167329,40760214,17831066,256623,0,0,58277
2017-05,14454324,435221849,0,0,0,128,217,127549,0,0,1321803,23322504,46714212,22756263,285099,0,0,79764
2017-06,13614380,453074831,0,0,0,298,24,107728,0,0,1189236,26270912,49223108,29049703,332491,0,0,33863
2017-07,11561407,476677776,0,0,0,184,40,92819,0,4,1051045,28595123,45930317,37540222,331315,0,0,22226
2017-08,10145311,477305330,0,0,14,159,110,79568,0,0,1011776,27536683,49536014,47503812,311449,0,0,28663
2017-09,8357959,488801836,0,0,0,184,44,60912,0,0,812207,27526587,43278154,39614128,325547,0,0,27193
2017-10,7942059,491320315,0,0,0,203,170,51655,0,0,759986,25764849,50772455,64189099,407383,0,0,19964
2017-11,6459401,447689617,0,0,0,51,53,44664,0,0,597605,22034449,47469632,49539712,445047,0,0,22590
2017-12,6483513,456029470,0,0,0,39,19,40320,0,0,638465,23677779,50143894,52544884,427731,0,0,11070
2018-01,5051339,411798144,0,0,0,53,108,28598,0,0,526609,21657569,44528155,54006295,412965,0,0,17265
2018-02,3480030,362071915,0,0,0,18,50,23511,0,0,406934,20540641,40075882,63337814,360437,1766,0,11151
2018-03,3335099,334211267,0,0,0,36,119,27278,0,0,452500,17475517,43633372,59525918,360690,2150,0,8814
2018-04,3222220,365912801,0,0,0,55,78,21431,0,0,276803,16833343,47019075,89148231,462901,2817,0,9620
2018-05,2752553,328874156,0,0,0,8,68,19482,0,0,217239,15684843,36303604,93322182,482967,3337,0,9460
2018-06,1702769,299060322,0,0,0,57,44,10512,0,0,155381,12738078,37413599,109903689,703816,5608,0,8059
